4;scans;78;DataLength;;;;;;;
header;23;lines;;;;;;;;
Date;21/02/2019;Time;17:10:49;;;;;;;
ID;HAL IV RC HALO 201 #11202;Version;3;;;;;;;
Scans;4;;;;;;;;;
Scan ID;Mode;Input;Scanned;Start;Stop;Increment;Dwell;Settle;RS;RelSEM
Scan 1;RGA;SEM;mass;4.00;4.00;0.01;2.000.000;500.000;0.140000;1.000.000
Scan 2;RGA;Faraday;mass;44.00;44.00;0.01;500.000;100.000;1.400.000;1.000.000
Scan 3;RGA;Faraday;mass;40.00;40.00;0.01;500.000;100.000;1.200.000;1.000.000
Scan 4;RGA;SEM;mass;36.00;36.00;0.01;1.000.000;5.000.000;0.004000;1.000.000
Environment;;;;;;;;;;
Global;RGA;;;;;;;;;
F1;1;( 1 = on, 0 = off );;;;;;;;
F2;0;( 1 = on, 0 = off );;;;;;;;
cage;5.0;V;;;;;;;;
delta-m;0;%;;;;;;;;
electron-energy;100.0;V;;;;;;;;
emission;1500;uA;;;;;;;;
focus;-90;V;;;;;;;;
mass;5.50;amu;;;;;;;;
mode-change-delay;1000;ms;;;;;;;;
multiplier;800;V;;;;;;;;
resolution;0;%;;;;;;;;
Data;4;;;;;;;;;
Time;ms;Helium;Carbon dioxide;Argon-40;Argon-36;;;;;
0:00:01;1011;3.43E-08;1.35E-08;1.60E-07;1.80E-07;;;;;
0:01:00;60075;3.38E-08;1.10E-08;1.57E-07;1.87E-07;;;;;
0:02:00;120077;3.29E-08;1.10E-08;1.56E-07;1.84E-07;;;;;
0:03:00;180082;3.14E-08;1.10E-08;1.53E-07;1.78E-07;;;;;
